L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,0.711000,-1.999897,0.001633,0.000001,0.000073,0.999974,0.000073
32,0,0.632000,-1.999972,0.000568,0.000001,0.000022,0.999993,0.000023
32,0,0.553000,-1.999996,0.000114,0.000000,0.000004,0.999999,0.000004
32,0,0.474000,-2.000000,0.000011,0.000000,0.000000,1.000000,0.000000
32,0,0.395000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.316000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.237000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.158000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.079000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,5.056000,-0.422521,0.094126,0.000500,0.555569,0.000068,0.099551
32,0,4.977000,-0.430965,0.097711,0.000313,0.574416,0.000076,0.099734
32,0,4.898000,-0.438437,0.102941,0.000388,0.600571,0.000085,0.100312
32,0,4.819000,-0.445989,0.107199,0.000442,0.625830,0.000064,0.100889
32,0,4.740000,-0.455052,0.112017,0.000471,0.650309,0.000056,0.101085
32,0,4.661000,-0.463875,0.116079,0.000551,0.681435,0.000042,0.102585
32,0,4.582000,-0.473621,0.121893,0.000441,0.718660,0.000043,0.102948
32,0,4.503000,-0.483784,0.125606,0.000517,0.747251,0.000067,0.102316
32,0,4.424000,-0.493557,0.131471,0.000294,0.784438,0.000061,0.103261
32,0,4.345000,-0.503637,0.138174,0.000516,0.823993,0.000062,0.104010
32,0,4.266000,-0.515057,0.144378,0.000487,0.872397,0.000050,0.104037
32,0,4.187000,-0.528004,0.153325,0.000499,0.922567,0.000058,0.104661
32,0,4.108000,-0.539690,0.160125,0.000519,0.978703,0.000057,0.104984
32,0,4.029000,-0.552489,0.167671,0.000565,1.049706,0.000077,0.105771
32,0,3.950000,-0.565916,0.175807,0.000607,1.116602,0.000069,0.106133
32,0,3.871000,-0.580674,0.185101,0.000579,1.202402,0.000083,0.107003
32,0,3.792000,-0.595622,0.196733,0.000635,1.272187,0.000041,0.106624
